Event Title                                                                                                             , Event Location                                                                                         , Event Date                    , Event Time, Page Number
RMB Latitudes Art Fair 2025                                                                                             , Shepstone Gardens                                                                                      , "Friday, May 23, 2025"        , 12:00     ,           2
Castle Gorge Day Visitor Access - July 2025                                                                             , "Castle Gorge, Magaliesberg"                                                                           , "Tuesday, July 1, 2025"       , 07:00     ,           2
Smile 90.4FM Mother's Day  2025                                                                                         , "GrandWest, Market Hall"                                                                               , "Saturday, May 10, 2025"      , 08:30     ,           2
Level Up Kids Fest  •  Parenting Workshop                                                                               , "Hatfield Christian Church, Young People's Facility"                                                   , "Friday, May 9, 2025"         , 18:30     ,           2
Verbatim Theatre                                                                                                        , CTDPS Little Theatre                                                                                   , "Thursday, May 8, 2025"       , 19:30     ,           2
"Shortstraw, Jackal & the Wind, Faker Streets - LIVE at Daisy Jones, Stellenbosch"                                      , "The Daisy Jones, Summerhill Wines, R44, Stellenbosch"                                                 , "Friday, May 9, 2025"         , 17:00     ,           2
Musical Mondays JUNE                                                                                                    , The Outlore Base                                                                                       , "Monday, June 23, 2025"       , 19:30     ,           2
Bonding with Boys                                                                                                       , St Thomas Aquinas Hall                                                                                 , "Saturday, May 10, 2025"      , 14:00     ,           2
"FOTO NA DANS: 10 JAAR LATER - Live by Daisy Jones, Stellenbosch"                                                       , "The Daisy Jones, Summerhill Wines, R44, Stellenbosch"                                                 , "Saturday, May 10, 2025"      , 17:00     ,           2
151st Collegiate Founders' Week Prestige Music Concert 2025                                                             , Collegiate Girls' High School: Stevenson Hall                                                          , "Sunday, May 11, 2025"        , 15:00     ,           3
Autumn Choir Festival                                                                                                   , Stellenbosch-Welgelegen DR Church                                                                      , "Friday, May 9, 2025"         , 19:00     ,           3
A Night on Broadway with the SCO                                                                                        , Lourensford Wine Cellar                                                                                , "Thursday, May 15, 2025"      , 19:30     ,           3
Peter Pan: An awfully big adventure                                                                                     , "Mears Hall, St Stithians College"                                                                     , "Wednesday, May 14, 2025"     , 18:30     ,           3
Durbanville Sauvignon Soirée                                                                                            , "Cassia, Nitida Wine Estate"                                                                           , "Friday, May 9, 2025"         , 17:00     ,           3
The Wiz                                                                                                                 , 9 Alexander Rd                                                                                         , "Wednesday, May 7, 2025"      , 19:00     ,           3
The Running Joke with Rory Petzer                                                                                       , SAHETI School Scouts Hall                                                                              , "Saturday, May 10, 2025"      , 19:00     ,           3
Suiderkruis VeldFliek - Afrikaans 100 /  Laerskool Skuilkrans 50                                                        , Laerskool Skuilkrans                                                                                   , "Friday, May 9, 2025"         , 17:30     ,           3
Blame It On The Boogie                                                                                                  , Fish Hoek High School - Terry Hepworth Hall                                                            , "Saturday, May 10, 2025"      , 11:00     ,           3
"Kearsney College ""Opera-tunity Knocks"""                                                                              , Henderson Hall                                                                                         , "Tuesday, May 13, 2025"       , 19:00     ,           3
Mighty Men Conference Mosselbay                                                                                         , Garden Route Family Expo                                                                               , "Friday, May 9, 2025"         , 15:00     ,           3
Mom's Day Out 2025 with Ross Learmonth                                                                                  , Toadbury Hall                                                                                          , "Sunday, May 11, 2025"        , 11:00     ,           3
Kesivan and The Lights at Wits Chris Seabrooke Music Hall                                                               , "The Chris Seabooke Music Hall, Wits University"                                                       , "Friday, May 9, 2025"         , 19:00     ,           4
Logos Family Fun Run                                                                                                    , Van Loveren Family Vineyards                                                                           , "Saturday, May 10, 2025"      , 08:00     ,           4
The Ash & Brad Show                                                                                                     , Kalk Bay Theatre (AT THE BRASS BELL)                                                                   , "Friday, April 18, 2025"      , 20:00     ,           4
Old Grey Reunion 2025                                                                                                   , The Grey Schools Campus                                                                                , "Wednesday, May 7, 2025"      , 00:00     ,           4
Sweat and Shine with Coach Kay                                                                                          , The Sports Science Institute of South Africa                                                           , "Saturday, May 10, 2025"      , 09:00     ,           4
BERGSIG OPEDAG | OPEN DAY 2025!                                                                                         , Bergsig Akademie / Academy                                                                             , "Wednesday, May 14, 2025"     , 13:00     ,           4
Liggiefees 2025                                                                                                         , Laerksool Unika                                                                                        , "Saturday, May 17, 2025"      , 14:00     ,           4
Reunie in die Kelder: Valiant Swart en die Akkedis Band                                                                 , Lourensford Winery / Tasting Room                                                                      , "Saturday, May 10, 2025"      , 18:00     ,           4
GROW INTENSIVE                                                                                                          , "Christian Family Church Johannesburg, Cnr Atlas Rd, Silver Wings Blvd, Bonaero Park"                  , "Saturday, May 10, 2025"      , 08:00     ,           4
A Mamma Mia Celebration with the South African Lipizzaners                                                              , Mistico Equestrian Centre                                                                              , "Sunday, May 11, 2025"        , 11:30     ,           4
The Winter's Tale                                                                                                       , The Adam Small Theatre Complex                                                                         , "Friday, May 2, 2025"         , 19:00     ,           4
Protea Heights Academy: District Six- The Musical                                                                       , Protea Heights Academy: School Hall                                                                    , "Thursday, May 22, 2025"      , 19:00     ,           4
PIANO EVENINGS - A WORLD OF COLOUR                                                                                      , Speke resort                                                                                           , "Friday, May 16, 2025"        , 17:00     ,           5
Molen Moedersdagkonsert                                                                                                 , Lekwena Wildlife Estate                                                                                , "Sunday, May 11, 2025"        , 12:00     ,           5
Scenic Mother's Day Lunch at Olive Press                                                                                , The Olive Press at Boschendal                                                                          , "Sunday, May 11, 2025"        , 12:00     ,           5
Pandora's Box                                                                                                           , Simon's Restaurant                                                                                     , "Friday, April 11, 2025"      , 18:00     ,           5
AUNTY MERLE  |  THINGS GET REAL | the movie                                                                             ,                                                                                                        , "Saturday, May 10, 2025"      , 14:30     ,           5
Mdzananda Gala Dinner & Auction                                                                                         , Two Oceans Aquarium                                                                                    , "Saturday, May 10, 2025"      , 18:30     ,           5
Viva La Diva                                                                                                            , Cape Point Vineyards Estate                                                                            , "Friday, May 16, 2025"        , 19:00     ,           5
ROCKING THE DAISIES 2025 - CAPE TOWN                                                                                    , Cloof Wine Estate                                                                                      , "Thursday, October 2, 2025"   , 13:00     ,           5
AL JOBURG 2025                                                                                                          , "The Galleria, Sandton, Johannesburg"                                                                  , "Saturday, May 17, 2025"      , 11:00     ,           5
Hamlet                                                                                                                  , The Masque Theatre                                                                                     , "Friday, May 9, 2025"         , 19:30     ,           5
"LIVE Jazz, Dinner & Comedy with Kedibone Mulaudzi & Friends at BAZE LOUNGE, Nelson Mandela Square, Sandton 09 May 2025", "BAZE LOUNGE, DaVinci Hotel, 3rd Floor, (Inside HOMEBAZE) Legacy Retail Sandton, Nelson Mandela Square", "Friday, May 9, 2025"         , 19:30     ,           5
SA Jagters | SA Hunters Kalahari-jag/hunt 2025                                                                          , Soetwater Boerdery                                                                                     , "Thursday, February 6, 2025"  , 00:00     ,           5
Afro Geek Fest                                                                                                          , Jabulani Safe Hub                                                                                      , "Saturday, May 24, 2025"      , 09:30     ,           6
DevConf 2025 Johannesburg                                                                                               , Emperors Palace                                                                                        , "Tuesday, May 27, 2025"       , 08:00     ,           6
School of Rock Claremont 10 Year Birthday Celebration                                                                   , Kapstadt Brauhaus Steenberg                                                                            , "Saturday, May 10, 2025"      , 14:00     ,           6
Stargazing at Casalinga - May                                                                                           , Casalinga                                                                                              , "Thursday, May 1, 2025"       , 19:00     ,           6
Koos Kombuis Akoesties BUITELUG vertoning                                                                               , Landje                                                                                                 , "Saturday, May 10, 2025"      , 18:00     ,           6
DevConf 2025 Cape Town                                                                                                  , Century City Conference Centre                                                                         , "Thursday, May 29, 2025"      , 08:00     ,           6
Matilda The Musical                                                                                                     , Jeppe High School for Girls                                                                            , "Friday, May 9, 2025"         , 19:00     ,           6
St George’s vs Stellenbosch                                                                                             , Gustrouw Sports Ground                                                                                 , "Saturday, May 10, 2025"      , 11:00     ,           6
Passion Play 2025                                                                                                       , "Salem Biblical Garden, Paarl"                                                                         , "Saturday, May 10, 2025"      , 11:00     ,           6
Miss La Rochelle 2025                                                                                                   , La Rochelle Girls' High School                                                                         , "Thursday, May 15, 2025"      , 19:00     ,           6
Data & AI Community Day Durban: Season of AI - The Age of Agency                                                        , To Be Confirmed                                                                                        , "Saturday, May 24, 2025"      , 08:00     ,           6
Aletta Francina - Effens Anders (Splinternuwe Show @ Die Centurion Teater)                                              , Die Centurion Teater                                                                                   , "Thursday, May 15, 2025"      , 19:30     ,           6
Arise - City Women Conference 2025                                                                                      , City Hope Church                                                                                       , "Friday, May 9, 2025"         , 18:00     ,           7
BeerEx Africa 2025                                                                                                      , "Makers Landing, V&A Waterfront"                                                                       , "Thursday, May 22, 2025"      , 18:00     ,           7
Puff & Paint at Rooftop 420 PLUMSTEAD                                                                                   , Rooftop420 Plumstead                                                                                   , "Friday, May 9, 2025"         , 18:00     ,           7
Dan Patlansky @St Francis Brewing Company                                                                               , "St Francis Brewing Company, Saint Francis Drive 171"                                                  , "Saturday, May 10, 2025"      , 19:30     ,           7
North West - Spreading Humors : Bantweezy’s Gone Wild Tour                                                              , Mmabatho Convention Centre                                                                             , "Saturday, July 26, 2025"     , 18:00     ,           7
Stad Op Die Berg Biltong jag kompetisie                                                                                 , Lentegeur Wildlife                                                                                     , "Monday, March 31, 2025"      , 12:00     ,           7
Universiteitskoor Stellenbosch University Choir                                                                         , Hugo Lambrechts Music Centre                                                                           , "Friday, May 16, 2025"        , 19:00     ,           7
South African National Pole and Aerial Sports Competition                                                               , Danie Van Zyl Hall                                                                                     , "Saturday, May 10, 2025"      , 11:30     ,           7
Fish Hoek High School - Variety Concert 2025 - Forever Young                                                            , Fish Hoek High School: The Terry Hepworth Hall.                                                        , "Thursday, May 15, 2025"      , 18:00     ,           7
Irene Long Table Dinner                                                                                                 , Jansen House Boutique Manor                                                                            , "Saturday, May 10, 2025"      , 17:30     ,           7
Shisha Sundays                                                                                                          , Mlando                                                                                                 , "Sunday, May 25, 2025"        , 12:00     ,           7
The 7 Types of Rest                                                                                                     , Boardwalk International Convention Centre                                                              , "Saturday, May 10, 2025"      , 14:30     ,           7
Hike with Purpose | 2025                                                                                                , Banhoek Conservancy                                                                                    , "Friday, May 9, 2025"         , 08:00     ,           8
MØTHER                                                                                                                  , POPArt: Theatre                                                                                        , "Friday, May 9, 2025"         , 19:00     ,           8
Dirk van der Westhuizen Live @ Alberton Fan Park                                                                        , Alberton Fan Park                                                                                      , "Friday, June 6, 2025"        , 20:00     ,           8
FOBM AFRO SUNSETS II                                                                                                    , Paralia                                                                                                , "Saturday, May 10, 2025"      , 11:00     ,           8
Tafelberg Mother’s Day: Relax & De-Stress with Biscuit Decorating by Tessa’s Bakery                                     , Tafelberg School                                                                                       , "Saturday, May 10, 2025"      , 10:30     ,           8
In The City - Summer Walker                                                                                             , SunBet Arena at Time Square Casino                                                                     , "Sunday, October 5, 2025"     , 16:00     ,           8
The Donut Quartet                                                                                                       , Untitled Basement                                                                                      , "Saturday, May 10, 2025"      , 19:00     ,           8
Celebrating Mother's Day Tea                                                                                            , Pre-grade playground                                                                                   , "Friday, May 9, 2025"         , 09:00     ,           8
BEESLOOP 2025                                                                                                           , Hoërskool Ellisras                                                                                     , "Tuesday, April 22, 2025"     , 21:00     ,           8
CELEBRATING 10 YEARS OF B2C                                                                                             , Hotel Africana Ltd & Convention center                                                                 , "Friday, May 9, 2025"         , 15:00     ,           8
Dan Patlansky Full Band live in Knysna                                                                                  , Blend Country Restaurant & Pub                                                                         , "Sunday, May 11, 2025"        , 19:00     ,           8
Grethe Nöthling Piano Recital                                                                                           , Northwards House                                                                                       , "Sunday, May 11, 2025"        , 15:00     ,           8
UP Choirs 2025                                                                                                          , UP Musaion Theater                                                                                     , "Sunday, May 11, 2025"        , 16:00     ,           9
VWS Trail Challenge 2025                                                                                                , Gardens RFC                                                                                            , "Sunday, May 18, 2025"        , 06:00     ,           9
RHSian Family Fun Day                                                                                                   , 1 Aloe Rd                                                                                              , "Saturday, May 10, 2025"      , 08:00     ,           9
Flesh Ft Fetish Freaks - 10 May - Book Now                                                                              , 23A Buitenkant St                                                                                      , "Saturday, May 10, 2025"      , 21:00     ,           9
KeJeso - The Gathering Of The Spirit Led                                                                                , Gateway Church International                                                                           , "Saturday, May 10, 2025"      , 10:30     ,           9
Werf Wikkel - Dans & Veiling                                                                                            , Hoërskool Durbanville                                                                                  , "Saturday, May 17, 2025"      , 18:00     ,           9
Choreographic Competition 2025                                                                                          , "The Lane Theatre, Waterfront Theatre School"                                                          , "Wednesday, May 7, 2025"      , 19:30     ,           9
InnovateEDU 2025                                                                                                        , Dainfern College                                                                                       , "Friday, May 23, 2025"        , 08:00     ,           9
Beyond The Field: Decoding Boyhood                                                                                      , RBHS E'1942 Centenary Pavilion                                                                         , "Friday, May 9, 2025"         , 08:00     ,           9
SATURDAY 31 MAY 2025 – HANOVER STREET GRANDWEST ICE FLAKE BIRTHDAY TOUR SHUTDOWN                                        , GrandWest Casino and Entertainment World                                                               , "Saturday, May 31, 2025"      , 20:00     ,           9
Mother & Daughter Sip and Paint                                                                                         , Curro Salt Rock School Hall                                                                            , "Saturday, May 10, 2025"      , 10:00     ,           9
Italian Republic Day Festival 2025                                                                                      , Italian Club Pretoria                                                                                  , "Sunday, June 1, 2025"        , 09:00     ,           9
The Waterfront Duck Co Tours: April - June 2025                                                                         , The Waterfront Duck Co.                                                                                , "Tuesday, April 1, 2025"      , 08:30     ,          10
100 Jaar in Afrikaans - Vrydag 16 Mei 19:00                                                                             , Hoërskool Nelspruit - Skoolsaal                                                                        , "Friday, May 16, 2025"        , 19:00     ,          10
The Worship Altar                                                                                                       , 66 Main Rd                                                                                             , "Sunday, May 25, 2025"        , 16:30     ,          10
Lethabong Lodge - SAFARI DAY PASS  from 6 January 2025                                                                  , Thabazimbi                                                                                             , "Monday, January 6, 2025"     , 09:00     ,          10
Irma Stern Museum Saturday Art Class: 3D paper baskets                                                                  , Irma Stern Museum                                                                                      , "Saturday, May 24, 2025"      , 10:30     ,          10
Magoebaskloof Tourism MTB and Running Trails 2025                                                                       , Magoebaskloof                                                                                          , "Saturday, March 1, 2025"     , 06:00     ,          10
Last Night of the Proms - Festival of Bells!                                                                            , "Linder Auditorium, Wits Campus, Johannesburg"                                                         , "Sunday, May 18, 2025"        , 15:00     ,          10
Throwback Party - VINYL Edition                                                                                         , Zwaanswyk Academy Hall                                                                                 , "Saturday, May 31, 2025"      , 18:30     ,          10
SUNDAY SOCIETY PICNIC - 11 May 2025                                                                                     , The Maslow Hotel                                                                                       , "Sunday, May 11, 2025"        , 13:00     ,          10
FOKOFPOLISIEKAR #LastYearOfArmchair                                                                                     , The Armchair Theatre                                                                                   , "Friday, May 16, 2025"        , 20:00     ,          10
Reünie met Frank Opperman (Toneel @ Die Centurion Teater)                                                               , Die Centurion Teater                                                                                   , "Saturday, May 24, 2025"      , 15:00     ,          10
AlterEgos' Medieval Fayre 2025                                                                                          , Greensleeves Medieval Kingdom                                                                          , "Saturday, June 7, 2025"      , 10:00     ,          10
